"Species"	"sp_rate"
"214"	"Amazilia_tzacatl"	0.234519599758742
"215"	"Amazilia_amazilia"	0.234639103099084
"216"	"Amazilia_franciae"	0.234366091286219
"217"	"Amazilia_versicolor"	0.235196114803694
"218"	"Chrysuronia_oenone"	0.234399986515406
"219"	"Lepidopyga_goudoti"	0.234691405714815
"220"	"Lepidopyga_coeruleogularis"	0.234697394173846
"221"	"Hylocharis_grayi"	0.235095999205174
"222"	"Amazilia_chionopectus"	0.235201437376979
"223"	"Amazilia_leucogaster"	0.235201437376979
"224"	"Leucochloris_albicollis"	0.234228581070888
"225"	"Amazilia_lactea"	0.234645053843604
"226"	"Amazilia_fimbriata"	0.234645053843604
"227"	"Hylocharis_chrysura"	0.234244126792183
"228"	"Hylocharis_sapphirina"	0.234755864301393
"229"	"Amazilia_chionogaster"	0.234475006649591
"230"	"Amazilia_rosenbergi"	0.234152178741137
"231"	"Amazilia_amabilis"	0.235048453812841
"232"	"Amazilia_decora"	0.234133003374796
"233"	"Amazilia_candida"	0.235161776344818
"234"	"Hylocharis_eliciae"	0.234578214666665
"235"	"Hylocharis_cyanus"	0.234576824331229
"236"	"Damophila_julie"	0.234070167565254
"237"	"Chlorostilbon_notatus"	0.234266293021472
