"Species"	"Bri_males_SS"	"Bri_females_SS"	"Bri_males_NS"	"Bri_females_NS"	"Chr_males_SS"	"Chr_females_SS"	"Chr_males_NS"	"Chr_females_NS"
"Phaethornis_malaris"	"Phaethornis_malaris"	-1.07115364728885	-1.1681783138014	-0.767642172855426	-0.430468707699634	-1.56225704546102	-1.41667784977066	-1.43281603508753	-0.950980510629477
"Coeligena_orina"	"Coeligena_orina"	2.42363977858711	0.403235622613803	1.45261181661932	0.812423681748686	2.31762835279314	-0.457651138851121	0.662054857966571	1.75639162442745
"Phaethornis_longirostris"	"Phaethornis_longirostris"	-1.08828636633084	-1.26231833061257	-1.05693931028453	-1.33151199834527	-1.52435151377065	-1.26406687111471	-1.09742534727292	-0.980500760189724
"Doryfera_johannae"	"Doryfera_johannae"	0.855201926758564	2.31141291314394	-0.58818810304209	0.0873095358322163	-0.368563618503597	-0.612765869098309	-1.2010347107933	-0.878152187298309
"Colibri_serrirostris"	"Colibri_serrirostris"	-0.276287894147107	-0.365002557261861	1.08844928941833	0.113144304592139	-0.198951066045876	0.615385380779528	0.0378579355380328	-0.348843564040775
"Androdon_aequatorialis"	"Androdon_aequatorialis"	-0.48554068774466	-0.239155436381431	0.661688691327266	0.599769933628092	-0.86013916925456	-1.1783019579049	-1.15290552806283	-1.37360613795493
"Heliactin_bilophus"	"Heliactin_bilophus"	0.773241775939971	0.121724091244258	0.227208972208658	-0.322055829360282	0.129111834154369	-0.694064526831366	-0.262289469032484	-0.0734355201644283
"Heliothryx_barroti"	"Heliothryx_barroti"	1.33007477443934	1.3603048834632	1.17469276572736	0.971044270674311	-1.0848737687614	-0.297894589473093	-0.237385436332495	0.408304795753306
"Heliothryx_auritus"	"Heliothryx_auritus"	0.235021620452277	0.0341958546825075	-0.161841351452558	0.111865801609046	-1.11979996999387	-0.547619912922237	-0.380990905181005	-0.0488548113584674
"Ocreatus_underwoodii"	"Ocreatus_underwoodii"	0.0442252698847675	0.893519062206852	-0.0769776766848032	0.778981372528733	0.89324523953323	-0.454159940003529	0.19885289569591	-0.107653431124225
"Polytmus_guainumbi"	"Polytmus_guainumbi"	0.151366226357621	0.135527132804077	1.12410296282216	1.08887340990474	-0.0649786788974038	0.121481401763679	1.07142664827346	0.561136006790676
"Polytmus_theresiae"	"Polytmus_theresiae"	-0.982521009546401	-0.425728073925822	0.0754339170969988	-0.107568151158071	0.386962455901067	0.789323355042782	1.13786556893193	1.69357801805948
"Avocettula_recurvirostris"	"Avocettula_recurvirostris"	-0.965413388465571	-1.15477650539289	-0.683141324766329	-1.01011932667406	-0.251379052988135	-1.02380810338417	0.460127244819417	0.665998024315394
"Anthracothorax_viridigula"	"Anthracothorax_viridigula"	-0.572618452817467	-1.00356112486664	-0.218536954702822	1.07518983255741	0.0447437295861028	-0.0846292716793547	0.28591810617496	0.0431490940767249
"Anthracothorax_prevostii"	"Anthracothorax_prevostii"	-1.37707570356266	-1.41474064304775	-0.881881632662411	-1.01940163521265	-1.1180727984266	-0.534454709447221	-0.229753615699234	0.887239782403493
"Anthracothorax_nigricollis"	"Anthracothorax_nigricollis"	-1.17569294038357	-0.907365220524345	-0.597715515429221	0.432036452453038	-1.09596576960403	-1.11286082813717	-0.239652952909856	-0.0829997788402052
"Eutoxeres_aquila"	"Eutoxeres_aquila"	-0.810869992488789	-0.349268316813305	-0.0469762530781953	-0.531685523967105	-1.389298661853	-0.771170763746489	-1.03464962422779	-0.751749978397821
"Eulampis_holosericeus"	"Eulampis_holosericeus"	-0.7444873398337	-0.844279500041985	-1.15972365182508	-1.43224915827216	0.548827636201184	0.774886665479859	0.254619260131257	-0.32882905386141
"Eulampis_jugularis"	"Eulampis_jugularis"	-1.15004045580374	-1.13688022859365	-1.06835397382878	-1.44333542576303	-0.193623346906734	0.509365200193127	-0.565825878747367	-1.045104860829
"Heliangelus_strophianus"	"Heliangelus_strophianus"	1.54373508970468	2.45645156539924	-1.46024510952871	-1.51357497519589	-0.171718262925067	0.50472250553786	-0.406673481618241	0.445655148133066
"Heliangelus_micraster"	"Heliangelus_micraster"	0.984544524848527	2.40672756815069	-1.58322587620858	-1.50306074088694	1.75719472870026	3.24077166940907	-0.174395955091941	0.396151383975547
"Adelomyia_melanogenys"	"Adelomyia_melanogenys"	-0.652804218267424	-0.98157422847977	0.482236193269501	0.565332396567904	-1.11871942379161	0.0228138619743686	-0.353345571913499	0.521534867769476
"Heliangelus_viola"	"Heliangelus_viola"	1.52574738605104	1.81261476108687	-0.845677242579928	-0.446589024977034	0.927942237189861	2.2997964395772	0.964167443130587	1.5174206572425
"Sephanoides_sephanoides"	"Sephanoides_sephanoides"	0.695130226405189	0.344351442933306	-0.496900254359015	-0.025648099196663	0.571470602809633	-0.633939919995373	-0.220609231579977	0.462884051634471
"Sephanoides_fernandensis"	"Sephanoides_fernandensis"	0.935661919387382	0.544135377117042	-1.44024444328422	0.0459837094987769	0.246471519012633	0.184004444411446	-0.356133730203656	-0.0608780706094543
"Discosura_conversii"	"Discosura_conversii"	-1.06382393055582	-1.30396799575998	0.767910331668349	0.230196145367983	0.32475082869134	-1.2273459852483	-1.00058124310755	-1.58482611378416
"Discosura_popelairii"	"Discosura_popelairii"	-1.40668482855311	-1.3380842065637	-1.01752927234688	-0.0243978334920594	0.324291275536679	-0.821651940820795	-1.15801873919807	-1.44528926107279
"Discosura_langsdorffi"	"Discosura_langsdorffi"	-0.35014368414655	-0.357134473769432	-1.03157605033099	-0.172217208764842	0.400649048462497	0.745256521100716	-0.788357071341338	-0.522126831994167
"Discosura_longicaudus"	"Discosura_longicaudus"	-0.916782053711598	-1.47305645379545	-0.38994090109314	-0.857422445972014	0.567748484452511	-0.310357721390714	0.182432927152062	-0.490617490112901
"Colibri_thalassinus"	"Colibri_thalassinus"	0.0486645125192283	0.22151081965186	1.48896872203867	1.21343304804944	-0.122295467957664	0.633740649885634	0.234829264225808	0.841537435689352
"Lophornis_delattrei"	"Lophornis_delattrei"	-1.02988094383874	-0.601115864446706	-0.683386930407377	-0.471083456261681	-0.737004190335155	-0.599990898804287	-0.356830247075032	-0.670078826322877
