"Species"	"Lambda"	"Bri_Beta_males_SS"	"Bri_Beta_females_SS"	"Bri_Beta_males_NS"	"Bri_Beta_females_NS"	"Chr_Beta_males_SS"	"Chr_Beta_females_SS"	"Chr_Beta_males_NS"	"Chr_Beta_females_NS"
"Phaethornis_guy"	"Phaethornis_guy"	0.152743462783045	0.0785362997137243	0.153875818075043	0.178920312727801	0.215242015432014	0.124859432654527	0.104047972648758	0.140304533104633	0.178880929715429
"Phaethornis_malaris"	"Phaethornis_malaris"	0.152492980139066	0.0766725907150362	0.146165555912768	0.156401597054491	0.138849245283285	0.126808996952027	0.0989193748417049	0.142484174395739	0.181775667038181
"Phaethornis_superciliosus"	"Phaethornis_superciliosus"	0.152472309044546	0.076704044821993	0.142658456108192	0.150722523724693	0.146732048750631	0.123990720711414	0.0984155822955416	0.138660324627557	0.177768144596591
"Phaethornis_augusti"	"Phaethornis_augusti"	0.152520383293888	0.0933060165871504	0.306504995519757	0.15484817089108	0.499045840195264	0.12102311260191	0.0934251088404888	0.133057725582276	0.177493767533698
"Phaethornis_pretrei"	"Phaethornis_pretrei"	0.152146228868521	0.0866376633072538	0.280700582781273	0.152392827958539	0.383461274839913	0.122248621285616	0.0923316247043093	0.134203586534351	0.17840407975734
"Phaethornis_eurynome"	"Phaethornis_eurynome"	0.15231815961763	0.0833002659401132	0.201283130989211	0.161123557268438	0.182265605654121	0.130275361240854	0.113123300769965	0.141210241230172	0.187461789026603
"Phaethornis_hispidus"	"Phaethornis_hispidus"	0.154431804853879	0.0941398803795339	1.22532300135217	1.42306231292545	0.168762691166726	0.141324354623688	0.0903482648992674	0.171506930228095	0.203396050630637
"Phaethornis_bourcieri"	"Phaethornis_bourcieri"	0.154431804853879	0.0938009012030104	1.20148182040421	1.41001731745186	0.170753680659203	0.141509379012856	0.0892052410891096	0.173772437302946	0.20208395803098
"Phaethornis_philippii"	"Phaethornis_philippii"	0.152381223826748	0.0803691677856012	0.408753929336451	0.474697183748883	0.141003711606503	0.132344495343983	0.0981614891424859	0.139101935997604	0.186384938292725
"Phaethornis_anthophilus"	"Phaethornis_anthophilus"	0.15335480522661	0.0780879593236597	0.1453619379457	0.162037939074427	0.150574576553667	0.132966818606956	0.124609490390464	0.14323114053414	0.184111741870498
"Phaethornis_nattereri"	"Phaethornis_nattereri"	0.152616054217723	0.0741619698216217	0.139477283494583	0.151453985907832	0.136443392394062	0.126589575679791	0.169585889614952	0.127566612192058	0.180405449095705
"Phaethornis_longuemareus"	"Phaethornis_longuemareus"	0.152640668938815	0.0746416011626955	0.140039773373496	0.158169039760657	0.149061898370081	0.125812381793004	0.16995116984732	0.129140672563136	0.178752289359085
"Phaethornis_rupurumii"	"Phaethornis_rupurumii"	0.152686014656172	0.0742558475355819	0.140080023748403	0.14869251007413	0.138307679889319	0.13002167610449	0.227756110097649	0.129657930213357	0.180340887388039
"Phaethornis_atrimentalis"	"Phaethornis_atrimentalis"	0.15266992960691	0.0739633127067243	0.137545114588139	0.148639157453038	0.131541945803038	0.131499716587255	0.192189890854205	0.131204735184691	0.183098522309112
"Phaethornis_ruber"	"Phaethornis_ruber"	0.152643536851663	0.0756122261220254	0.138929806677223	0.146476017426167	0.134113665599114	0.138349916937498	0.31618121847887	0.133643400229637	0.192220033942484
"Phaethornis_griseogularis"	"Phaethornis_griseogularis"	0.153470230357429	0.0767038346042868	0.140238759626619	0.167953700452161	0.133808432492933	0.132135605196397	0.160040382464132	0.139765346124287	0.179293463044184
